current_date,description,inside,weapon,post,district,neighborhood,lat,lon,common_dist
2011-04-30 00:55:00,LARCENY FROM AUTO,0,NONE,141.0,CENTRAL,Mid-Town Belvedere,39.30103,-76.61599,1.0
2015-10-04 20:30:00,AUTO THEFT,0,NONE,512.0,NORTHERN,Charles Village,39.32071,-76.61611,0.0
2015-10-16 16:30:00,LARCENY,0,NONE,513.0,NORTHERN,Better Waverly,39.32388,-76.60519,1.0
2015-07-02 11:04:00,AGG. ASSAULT,0,OTHER,123.0,CENTRAL,Upton,39.304,-76.63527,0.0
2013-02-08 20:00:00,AUTO THEFT,0,NONE,933.0,SOUTHERN,Union Square,39.28553,-76.63946,0.0
2014-07-18 18:30:00,LARCENY,0,NONE,821.0,SOUTHWESTERN,Franklintown,39.30983,-76.70779,1.0
2014-04-28 15:10:00,COMMON ASSAULT,0,HANDS,413.0,NORTHEASTERN,New Northwood,39.34508,-76.59938,1.0
2016-05-15 11:15:00,BURGLARY,1,NONE,524.0,NORTHERN,Kenilworth Park,39.34656,-76.60147,1.0
2013-07-05 21:30:00,COMMON ASSAULT,1,HANDS,321.0,EASTERN,CARE,39.29464,-76.58762,1.0
2013-07-10 16:00:00,AGG. ASSAULT,1,OTHER,723.0,WESTERN,Bridgeview/Greenlawn,39.30161,-76.65648,1.0
2015-03-22 19:00:00,LARCENY,0,NONE,733.0,WESTERN,Penn North,39.31013,-76.64152,1.0
2012-05-07 23:30:00,LARCENY FROM AUTO,0,NONE,212.0,SOUTHEASTERN,Butcher's Hill,39.29282,-76.58844,1.0
2016-02-17 22:00:00,LARCENY FROM AUTO,0,NONE,242.0,SOUTHEASTERN,Greektown,39.28355,-76.55184,1.0
2012-02-22 16:00:00,BURGLARY,1,NONE,321.0,EASTERN,CARE,39.29546,-76.58555,1.0
2012-07-14 12:09:00,LARCENY FROM AUTO,0,NONE,514.0,NORTHERN,Old Goucher,39.31774,-76.61913,1.0
2013-12-27 00:58:00,LARCENY,1,NONE,831.0,SOUTHWESTERN,Morrell Park,39.26449,-76.65493,1.0
2014-03-26 18:00:00,LARCENY FROM AUTO,0,NONE,445.0,NORTHEASTERN,Cedmont,39.34361,-76.54019,1.0
2013-03-31 01:30:00,COMMON ASSAULT,1,HANDS,123.0,CENTRAL,Upton,39.29964,-76.62502,1.0
2012-07-26 04:00:00,LARCENY FROM AUTO,0,NONE,111.0,CENTRAL,Downtown,39.2917,-76.61402,1.0
2013-08-05 23:57:00,COMMON ASSAULT,0,HANDS,112.0,CENTRAL,Inner Harbor,39.28655,-76.61134,1.0
2013-03-30 16:40:00,LARCENY,1,NONE,213.0,SOUTHEASTERN,Fells Point,39.28131,-76.59435,1.0
2011-09-19 22:25:00,AGG. ASSAULT,0,KNIFE,223.0,SOUTHEASTERN,Baltimore Highlands,39.2915,-76.56552,0.0
2012-06-22 22:30:00,COMMON ASSAULT,1,HANDS,921.0,SOUTHERN,Westport,39.2636,-76.6336,1.0
2015-06-12 18:00:00,AUTO THEFT,0,NONE,213.0,SOUTHEASTERN,Fells Point,39.2854,-76.59817,0.0
2011-03-15 00:01:00,LARCENY FROM AUTO,0,NONE,412.0,NORTHEASTERN,Hillen,39.34268,-76.59113,1.0
2015-12-08 21:09:00,LARCENY FROM AUTO,0,NONE,831.0,SOUTHWESTERN,Morrell Park,39.26508,-76.65102,1.0
2015-07-18 16:00:00,AUTO THEFT,0,NONE,531.0,NORTHERN,Hampden,39.33208,-76.63531,0.0
2012-01-08 13:20:00,COMMON ASSAULT,1,HANDS,415.0,NORTHEASTERN,Loch Raven,39.35756,-76.57913,1.0
2015-03-30 17:30:00,ROBBERY - STREET,0,KNIFE,321.0,EASTERN,Middle East,39.29995,-76.58524,0.0
2013-03-19 12:00:00,BURGLARY,1,NONE,923.0,SOUTHERN,Lakeland,39.25475,-76.65349,1.0
2011-01-01 19:50:00,COMMON ASSAULT,1,HANDS,911.0,SOUTHERN,Curtis Bay,39.22683,-76.58779,1.0
2013-11-05 20:00:00,LARCENY,0,NONE,921.0,SOUTHERN,Mount Winans,39.26305,-76.6452,1.0
2012-07-19 19:45:00,COMMON ASSAULT,1,HANDS,611.0,NORTHWESTERN,Liberty Square,39.32108,-76.65456,1.0
2016-07-21 09:30:00,BURGLARY,1,NONE,221.0,SOUTHEASTERN,Patterson Place,39.29434,-76.58456,1.0
2013-06-22 02:00:00,AGG. ASSAULT,1,KNIFE,814.0,SOUTHWESTERN,Winchester,39.30235,-76.66579,1.0
2013-09-13 19:00:00,AUTO THEFT,0,NONE,632.0,NORTHWESTERN,Glen,39.36176,-76.6991,1.0
2014-11-15 04:30:00,COMMON ASSAULT,0,HANDS,524.0,NORTHERN,Richnor Springs,39.34597,-76.60595,1.0
2015-08-19 23:00:00,AUTO THEFT,0,NONE,711.0,WESTERN,Franklin Square,39.28974,-76.63973,1.0
2011-06-14 22:00:00,LARCENY,1,NONE,121.0,CENTRAL,University Of Maryland,39.28829,-76.62367,1.0
2011-02-05 20:01:00,BURGLARY,1,NONE,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,39.3317,-76.59992,1.0
2015-05-19 18:35:00,LARCENY,1,NONE,133.0,CENTRAL,Reservoir Hill,39.3123,-76.63242,1.0
2012-10-30 14:00:00,LARCENY FROM AUTO,0,NONE,842.0,SOUTHWESTERN,Saint Josephs,39.28372,-76.67831,1.0
2014-05-15 23:19:00,ROBBERY - STREET,0,NONE,224.0,SOUTHEASTERN,Ellwood Park/Monument,39.29505,-76.56962,0.0
2016-09-10 04:08:00,COMMON ASSAULT,0,HANDS,813.0,SOUTHWESTERN,Rosemont,39.30704,-76.6714,1.0
2016-02-25 00:10:00,LARCENY,0,NONE,913.0,SOUTHERN,Brooklyn,39.2286,-76.60097,1.0
2013-07-12 19:30:00,AUTO THEFT,0,NONE,723.0,WESTERN,Coppin Heights/Ash-Co-East,39.3055,-76.65249,1.0
2013-02-19 21:21:00,AGG. ASSAULT,1,KNIFE,413.0,NORTHEASTERN,Original Northwood,39.34328,-76.5951,0.0
2011-04-02 14:00:00,LARCENY,1,NONE,533.0,NORTHERN,Mount Washington,39.3675,-76.65219,1.0
2011-03-23 19:00:00,ROBBERY - COMMERCIAL,1,FIREARM,221.0,SOUTHEASTERN,Patterson Place,39.29309,-76.58474,0.0
2011-11-02 09:30:00,LARCENY FROM AUTO,1,NONE,111.0,CENTRAL,Downtown,39.28768,-76.61925,1.0
2015-05-11 02:24:00,AGG. ASSAULT,0,FIREARM,721.0,WESTERN,Mosher,39.2961,-76.65951,1.0
2013-03-23 11:00:00,LARCENY,0,NONE,713.0,WESTERN,Harlem Park,39.29528,-76.64438,1.0
2014-11-04 10:00:00,LARCENY,0,NONE,514.0,NORTHERN,Old Goucher,39.31555,-76.61816,1.0
2011-06-30 22:00:00,AUTO THEFT,0,NONE,411.0,NORTHEASTERN,Coldstream Homestead Montebello,39.32082,-76.59393,1.0
