current_date,inside,weapon,post,lat,lon,dist_center,day_period,crime_type,neighborhood_lat,neighborhood_lon,district_lat,district_lon,common_dist
2012-11-09 18:00:00,1,0,141.0,39.30656,-76.61953,0.352483358428851,7,1,39.30316344827587,-76.61626601532566,39.29873684383431,-76.620764340225,1.0
2011-10-13 12:00:00,0,0,212.0,39.29215,-76.58923,2.8384905213665186,5,1,39.29138908212561,-76.59474777777777,39.28954494317715,-76.57517554868063,1.0
2015-01-14 00:01:00,0,0,844.0,39.29572,-76.67908,5.617258434137313,1,1,39.29576242857143,-76.67684685714286,39.290191818719975,-76.67458630780087,1.0
2011-12-13 23:30:00,0,0,321.0,39.29581,-76.5871,2.775113545770008,8,2,39.29608247619048,-76.58720333333332,39.30589038784177,-76.5943316483982,1.0
2016-03-12 20:00:00,0,0,443.0,39.327,-76.55905,5.329535799870467,7,3,39.32877800955414,-76.54665738853502,39.33762689962533,-76.5666633515134,1.0
2014-10-18 16:00:00,1,0,441.0,39.31877,-76.532,7.303743868330425,6,15,39.29802360946746,-76.54001,39.33762689962533,-76.5666633515134,1.0
2014-02-03 23:20:00,0,4,432.0,39.31449,-76.56369,4.535548414768488,8,32,39.320888623853214,-76.56871396024464,39.33762689962533,-76.5666633515134,0.0
2011-09-10 13:00:00,1,0,814.0,39.29935,-76.66817,4.613253856389083,5,1,39.29752779220779,-76.66659961038962,39.290191818719975,-76.67458630780087,1.0
2011-01-30 05:39:00,1,1,312.0,39.30159,-76.60066,1.4429964250875913,2,32,39.29882021276595,-76.60306971631206,39.30589038784177,-76.5943316483982,1.0
2013-08-19 16:24:30,1,2,641.0,39.32033,-76.68819,6.407867583270187,6,52,39.3206615625,-76.69158,39.340550095447526,-76.68238401277931,0.0
2014-05-10 18:30:00,0,0,511.0,39.31555,-76.62246,1.0751089653874162,7,2,39.320077050359714,-76.62213014388489,39.33824599049766,-76.6227167386246,1.0
2015-06-03 22:20:00,0,1,922.0,39.24484,-76.624,7.003328476767017,8,21,39.25916242352941,-76.62636630588236,39.26376186739272,-76.62165641425072,1.0
2013-07-26 18:00:00,0,0,232.0,39.28589,-76.57367,4.334776195790813,7,2,39.28264811791383,-76.5757163718821,39.28954494317715,-76.57517554868063,1.0
2015-08-27 15:30:00,0,0,822.0,39.29344,-76.69434,6.953996015205225,6,1,39.2948394,-76.6977106,39.290191818719975,-76.67458630780087,1.0
2014-08-04 08:55:00,1,0,415.0,39.3529,-76.58148,5.844218036340793,3,15,39.352959718309855,-76.58404746478874,39.33762689962533,-76.5666633515134,1.0
2016-05-27 09:00:00,0,0,532.0,39.3545,-76.66243,6.602489226791253,4,1,39.35327842105264,-76.66448894736841,39.33824599049766,-76.6227167386246,1.0
2013-10-10 01:00:00,0,0,432.0,39.32248,-76.56163,4.935802976294317,1,1,39.320888623853214,-76.56871396024464,39.33762689962533,-76.5666633515134,1.0
2013-04-05 09:00:00,0,0,311.0,39.30364,-76.61172,0.5414798161617191,4,3,39.30316344827587,-76.61626601532566,39.30589038784177,-76.5943316483982,0.0
2013-03-04 13:40:00,0,0,613.0,39.3442,-76.67985,6.87348157937046,5,2,39.34320651162791,-76.68048837209302,39.340550095447526,-76.68238401277931,1.0
2011-10-14 11:00:00,1,0,412.0,39.33261,-76.5975,3.2011175536251577,4,15,39.33269582938389,-76.59684232227488,39.33762689962533,-76.5666633515134,1.0
2015-09-16 22:15:00,0,4,425.0,39.34549,-76.54118,7.673969814686049,8,51,39.34943357512953,-76.54710497409326,39.33762689962533,-76.5666633515134,0.0
